Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
SVG,shapes/1.svg,1.svg,6,6,0,0,0,427,0
SVG,shapes/10.svg,10.svg,6,6,0,0,0,829,0
SVG,shapes/1000.svg,1000.svg,8,8,0,0,0,1269,0
Plain Text,texts/10000.txt,10000.txt,1,1,0,0,0,3,0
Plain Text,texts/10001.txt,10001.txt,1,1,0,0,0,13,0
Plain Text,texts/10002.txt,10002.txt,1,1,0,0,0,3,0
Plain Text,texts/10003.txt,10003.txt,1,1,0,0,0,11,0
Plain Text,texts/10004.txt,10004.txt,1,1,0,0,0,13,0
Plain Text,texts/10005.txt,10005.txt,1,1,0,0,0,16,0
Plain Text,texts/10006.txt,10006.txt,1,1,0,0,0,12,0
Plain Text,texts/10007.txt,10007.txt,1,1,0,0,0,7,0
Plain Text,texts/10008.txt,10008.txt,1,1,0,0,0,13,0
Plain Text,texts/10009.txt,10009.txt,1,1,0,0,0,9,0
SVG,shapes/1001.svg,1001.svg,8,8,0,0,0,1291,0
Plain Text,texts/10010.txt,10010.txt,1,1,0,0,0,21,0
Plain Text,texts/10011.txt,10011.txt,1,1,0,0,0,13,0
Plain Text,texts/10012.txt,10012.txt,1,1,0,0,0,5,0
Plain Text,texts/10013.txt,10013.txt,1,1,0,0,0,12,0
Plain Text,texts/10014.txt,10014.txt,1,1,0,0,0,20,0
Plain Text,texts/10015.txt,10015.txt,1,1,0,0,0,82,0
Plain Text,texts/10016.txt,10016.txt,1,1,0,0,0,9,0
Plain Text,texts/10017.txt,10017.txt,1,1,0,0,0,17,0
Plain Text,texts/10018.txt,10018.txt,1,1,0,0,0,82,0
Plain Text,texts/10019.txt,10019.txt,1,1,0,0,0,8,0
SVG,shapes/1002.svg,1002.svg,8,8,0,0,0,1117,0
Plain Text,texts/10020.txt,10020.txt,1,1,0,0,0,95,0
Plain Text,texts/10021.txt,10021.txt,1,1,0,0,0,11,0
SVG,shapes/10022.svg,10022.svg,6,6,0,0,0,447,0
SVG,shapes/10023.svg,10023.svg,9,9,0,0,0,973,0
Plain Text,texts/10024.txt,10024.txt,1,1,0,0,0,1,0
Plain Text,texts/10025.txt,10025.txt,1,1,0,0,0,6,0
Plain Text,texts/10026.txt,10026.txt,1,1,0,0,0,14,0
Plain Text,texts/10027.txt,10027.txt,1,1,0,0,0,7,0
Plain Text,texts/10028.txt,10028.txt,1,1,0,0,0,5,0
Plain Text,texts/10029.txt,10029.txt,1,1,0,0,0,10,0
SVG,shapes/1003.svg,1003.svg,8,8,0,0,0,1136,0
Plain Text,texts/10030.txt,10030.txt,1,1,0,0,0,13,0
SVG,shapes/10031.svg,10031.svg,6,6,0,0,0,462,0
SVG,shapes/10032.svg,10032.svg,6,6,0,0,0,425,0
SVG,shapes/10035.svg,10035.svg,7,7,0,0,0,983,0
Plain Text,texts/10036.txt,10036.txt,1,1,0,0,0,1,0
SVG,shapes/10037.svg,10037.svg,7,7,0,0,0,983,0
Plain Text,texts/10038.txt,10038.txt,1,1,0,0,0,1,0
SVG,shapes/10039.svg,10039.svg,7,7,0,0,0,983,0
SVG,shapes/1004.svg,1004.svg,8,8,0,0,0,1158,0
Plain Text,texts/10040.txt,10040.txt,1,1,0,0,0,1,0
SVG,shapes/10041.svg,10041.svg,7,7,0,0,0,983,0
Plain Text,texts/10042.txt,10042.txt,1,1,0,0,0,1,0
Plain Text,texts/10043.txt,10043.txt,1,1,0,0,0,5,0
Plain Text,texts/10044.txt,10044.txt,1,1,0,0,0,1,0
Plain Text,texts/10045.txt,10045.txt,1,1,0,0,0,5,0
Plain Text,texts/10046.txt,10046.txt,1,1,0,0,0,1,0
Plain Text,texts/10047.txt,10047.txt,1,1,0,0,0,5,0
Plain Text,texts/10048.txt,10048.txt,1,1,0,0,0,1,0
Plain Text,texts/10049.txt,10049.txt,1,1,0,0,0,5,0
SVG,shapes/1005.svg,1005.svg,8,8,0,0,0,1170,0
Plain Text,texts/10050.txt,10050.txt,1,1,0,0,0,1,0
SVG,shapes/10053.svg,10053.svg,12,12,0,0,0,772,0
SVG,shapes/10056.svg,10056.svg,11,11,0,0,0,1273,0
Plain Text,texts/10057.txt,10057.txt,1,1,0,0,0,5,0
Plain Text,texts/10058.txt,10058.txt,1,1,0,0,0,14,0
Plain Text,texts/10059.txt,10059.txt,1,1,0,0,0,5,0
SVG,shapes/1006.svg,1006.svg,8,8,0,0,0,1478,0
Plain Text,texts/10060.txt,10060.txt,1,1,0,0,0,34,0
Plain Text,texts/10061.txt,10061.txt,1,1,0,0,0,16,0
SVG,shapes/10062.svg,10062.svg,7,7,0,0,0,575,0
SVG,shapes/10063.svg,10063.svg,6,6,0,0,0,2985,0
Plain Text,texts/10064.txt,10064.txt,1,1,0,0,0,1,0
Plain Text,texts/10065.txt,10065.txt,1,1,0,0,0,9,0
SVG,shapes/10066.svg,10066.svg,7,7,0,0,0,575,0
Plain Text,texts/10067.txt,10067.txt,1,1,0,0,0,1,0
Plain Text,texts/10068.txt,10068.txt,1,1,0,0,0,9,0
SVG,shapes/10069.svg,10069.svg,7,7,0,0,0,575,0
